City,date,hour,temperature_c,pressure,is_rainy
Москва,2024-02-13,0,-3,744,0
Москва,2024-02-13,1,-2,744,0
Москва,2024-02-13,2,-2,744,0
Москва,2024-02-13,3,-3,745,1
Москва,2024-02-13,4,-4,745,0
Москва,2024-02-13,5,-4,746,0
Москва,2024-02-13,6,-4,747,0
Москва,2024-02-13,7,-4,747,0
Москва,2024-02-13,8,-5,747,0
Москва,2024-02-13,9,-5,749,0
Москва,2024-02-13,10,-6,749,0
Москва,2024-02-13,11,-6,749,0
Москва,2024-02-13,12,-5,750,0
Москва,2024-02-13,13,-6,750,0
Москва,2024-02-13,14,-4,750,0
Москва,2024-02-13,15,-4,751,0
Москва,2024-02-13,16,-6,750,0
Москва,2024-02-13,17,-5,751,0
Москва,2024-02-13,18,-6,752,0
Москва,2024-02-13,19,-8,752,0
Москва,2024-02-13,20,-9,752,0
Москва,2024-02-13,21,-10,753,0
Москва,2024-02-13,22,-11,753,0
Москва,2024-02-13,23,-11,753,0
Москва,2024-02-14,0,-12,754,0
Москва,2024-02-14,1,-12,754,0
Москва,2024-02-14,2,-13,754,0
Москва,2024-02-14,3,-13,755,0
Москва,2024-02-14,4,-13,754,0
Москва,2024-02-14,5,-14,755,0
Москва,2024-02-14,6,-14,756,0
Москва,2024-02-14,7,-14,755,0
Москва,2024-02-14,8,-14,756,0
Москва,2024-02-14,9,-14,757,0
Москва,2024-02-14,10,-13,756,0
Москва,2024-02-14,11,-13,756,0
Москва,2024-02-14,12,-12,757,0
Москва,2024-02-14,13,-11,756,0
Москва,2024-02-14,14,-10,756,0
Москва,2024-02-14,15,-10,757,0
Москва,2024-02-14,16,-10,756,0
Москва,2024-02-14,17,-10,756,0
Москва,2024-02-14,18,-11,758,0
Москва,2024-02-14,19,-11,757,0
Москва,2024-02-14,20,-11,757,0
Москва,2024-02-14,21,-12,759,0
Москва,2024-02-14,22,-12,758,0
Москва,2024-02-14,23,-12,758,0
Москва,2024-02-15,0,-12,759,0
Москва,2024-02-15,1,-12,758,0
